year,type,place,weight_lbs,est_weight,ott,city,state,state_code,latitude,longitude,nearest_station,TMIN_AVG,TMAX_AVG,PRCP_AVG,TEMP_DIFF_AVG,TMIN_STDEV,TMAX_STDEV,PRCP_STDEV,TEMP_DIFF_STDEV,TEMP_BELOW_MAX,TEMP_ABOVE_MIN
2013,Field Pumpkin,1.0,154.5,129.0,184.0,Gleason,Wisconsin,WI,45.3088889,-89.49638890000001,USC00475364,102.68627450980392,235.26143790849673,39.31372549019608,132.5751633986928,54.705848646748834,55.357186007379916,85.11157310355036,35.63718726172244,153,125
2013,Field Pumpkin,14.0,128.5,113.0,176.0,Gleason,Wisconsin,WI,45.3088889,-89.49638890000001,USC00475364,102.68627450980392,235.26143790849673,39.31372549019608,132.5751633986928,54.705848646748834,55.357186007379916,85.11157310355036,35.63718726172244,153,125
2013,Giant Pumpkin,246.0,1129.0,1129.0,373.0,Gleason,Wisconsin,WI,45.3088889,-89.49638890000001,USC00475364,102.68627450980392,235.26143790849673,39.31372549019608,132.5751633986928,54.705848646748834,55.357186007379916,85.11157310355036,35.63718726172244,153,125
2013,Field Pumpkin,2.0,146.5,151.0,194.0,New Middletown,Ohio,OH,40.961111100000004,-80.5577778,USW00014852,127.92156862745098,248.07843137254903,31.80392156862745,120.15686274509804,54.37195598397411,46.223929979896525,102.82106703699095,33.17797256881573,153,138
2013,Field Pumpkin,67.0,102.0,0.0,0.0,New Middletown,Ohio,OH,40.961111100000004,-80.5577778,USW00014852,127.92156862745098,248.07843137254903,31.80392156862745,120.15686274509804,54.37195598397411,46.223929979896525,102.82106703699095,33.17797256881573,153,138
2013,Field Pumpkin,262.0,35.5,0.0,0.0,Burghill,Ohio,OH,41.359444399999994,-80.5686111,USW00014852,127.92156862745098,248.07843137254903,31.80392156862745,120.15686274509804,54.37195598397411,46.223929979896525,102.82106703699095,33.17797256881573,153,138
2013,Giant Pumpkin,113.0,1333.0,1366.0,401.0,New Middletown,Ohio,OH,40.961111100000004,-80.5577778,USW00014852,127.92156862745098,248.07843137254903,31.80392156862745,120.15686274509804,54.37195598397411,46.223929979896525,102.82106703699095,33.17797256881573,153,138
2013,Giant Pumpkin,363.0,996.0,0.0,0.0,Girard,Ohio,OH,41.1538889,-80.7016667,USW00014852,127.92156862745098,248.07843137254903,31.80392156862745,120.15686274509804,54.37195598397411,46.223929979896525,102.82106703699095,33.17797256881573,153,138
2013,Giant Pumpkin,1174.0,323.0,0.0,0.0,Masury,Ohio,OH,41.211111100000004,-80.53805559999998,USW00014852,127.92156862745098,248.07843137254903,31.80392156862745,120.15686274509804,54.37195598397411,46.223929979896525,102.82106703699095,33.17797256881573,153,138
2013,Giant Pumpkin,1208.0,292.5,0.0,0.0,Masury,Ohio,OH,41.211111100000004,-80.53805559999998,USW00014852,127.92156862745098,248.07843137254903,31.80392156862745,120.15686274509804,54.37195598397411,46.223929979896525,102.82106703699095,33.17797256881573,153,138
2013,Field Pumpkin,4.0,140.8,151.0,194.0,Combined Locks,Wisconsin,WI,44.2658333,-88.3141667,USC00470265,120.31372549019608,240.0718954248366,27.30718954248366,119.75816993464052,54.32086332110772,55.2536143822717,68.50482897363702,33.39418207755398,153,129
2013,Field Pumpkin,16.0,128.0,151.0,194.0,Combined Locks,Wisconsin,WI,44.2658333,-88.3141667,USC00470265,120.31372549019608,240.0718954248366,27.30718954248366,119.75816993464052,54.32086332110772,55.2536143822717,68.50482897363702,33.39418207755398,153,129
2013,Field Pumpkin,34.0,115.5,134.0,187.0,Combined Locks,Wisconsin,WI,44.2658333,-88.3141667,USC00470265,120.31372549019608,240.0718954248366,27.30718954248366,119.75816993464052,54.32086332110772,55.2536143822717,68.50482897363702,33.39418207755398,153,129
2013,Field Pumpkin,75.0,100.0,105.0,172.0,Combined Locks,Wisconsin,WI,44.2658333,-88.3141667,USC00470265,120.31372549019608,240.0718954248366,27.30718954248366,119.75816993464052,54.32086332110772,55.2536143822717,68.50482897363702,33.39418207755398,153,129
2013,Field Pumpkin,84.0,97.5,85.0,160.0,Combined Locks,Wisconsin,WI,44.2658333,-88.3141667,USC00470265,120.31372549019608,240.0718954248366,27.30718954248366,119.75816993464052,54.32086332110772,55.2536143822717,68.50482897363702,33.39418207755398,153,129
2013,Giant Pumpkin,56.0,1476.5,1432.0,409.0,Kaukauna,Wisconsin,WI,44.2780556,-88.2719444,USC00470265,120.31372549019608,240.0718954248366,27.30718954248366,119.75816993464052,54.32086332110772,55.2536143822717,68.50482897363702,33.39418207755398,153,129
2013,Giant Pumpkin,112.0,1338.0,1270.0,390.0,Combined Locks,Wisconsin,WI,44.2658333,-88.3141667,USC00470265,120.31372549019608,240.0718954248366,27.30718954248366,119.75816993464052,54.32086332110772,55.2536143822717,68.50482897363702,33.39418207755398,153,129
2013,Giant Pumpkin,127.0,1315.5,1166.0,378.0,Kaukauna,Wisconsin,WI,44.2780556,-88.2719444,USC00470265,120.31372549019608,240.0718954248366,27.30718954248366,119.75816993464052,54.32086332110772,55.2536143822717,68.50482897363702,33.39418207755398,153,129
2013,Giant Pumpkin,463.0,888.4,1002.0,357.0,Combined Locks,Wisconsin,WI,44.2658333,-88.3141667,USC00470265,120.31372549019608,240.0718954248366,27.30718954248366,119.75816993464052,54.32086332110772,55.2536143822717,68.50482897363702,33.39418207755398,153,129
